---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/unhot2unhot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 23040, dst 34893, status Complete, result count 15499, preprocessing time 0.007013 seconds, query time 0.007687 seconds,
ID 167, src 27884, dst 10785, status Complete, result count 3000505, preprocessing time 0.010232 seconds, query time 0.092825 seconds,
ID 168, src 27703, dst 30102, status Complete, result count 252531, preprocessing time 0.008270 seconds, query time 0.018709 seconds,
ID 169, src 9184, dst 38908, status Complete, result count 2279118, preprocessing time 0.009927 seconds, query time 0.102445 seconds,
ID 170, src 60345, dst 42340, status Complete, result count 18370, preprocessing time 0.006092 seconds, query time 0.007074 seconds,
ID 171, src 68669, dst 19016, status Complete, result count 925, preprocessing time 0.001893 seconds, query time 0.001943 seconds,
ID 172, src 50416, dst 38378, status Complete, result count 10610, preprocessing time 0.003534 seconds, query time 0.003942 seconds,
ID 173, src 54167, dst 6525, status Complete, result count 4447, preprocessing time 0.003447 seconds, query time 0.003627 seconds,
ID 174, src 34999, dst 7727, status Complete, result count 70292, preprocessing time 0.006266 seconds, query time 0.009048 seconds,
ID 175, src 70667, dst 71264, status Complete, result count 1, preprocessing time 0.000010 seconds, query time 0.000012 seconds,
ID 176, src 60849, dst 45145, status Complete, result count 43368, preprocessing time 0.006562 seconds, query time 0.008204 seconds,
ID 177, src 70837, dst 70838, status Complete, result count 11, preprocessing time 0.000012 seconds, query time 0.000016 seconds,
ID 178, src 73717, dst 75539, status Complete, result count 1, preprocessing time 0.000002 seconds, query time 0.000004 seconds,
ID 179, src 29522, dst 20391, status Complete, result count 26360, preprocessing time 0.005859 seconds, query time 0.006887 seconds,
ID 180, src 49849, dst 14582, status Complete, result count 704511, preprocessing time 0.010287 seconds, query time 0.032266 seconds,
ID 181, src 71358, dst 71308, status Complete, result count 1, preprocessing time 0.000006 seconds, query time 0.000009 seconds,
ID 182, src 6754, dst 45273, status Complete, result count 1972019, preprocessing time 0.009409 seconds, query time 0.088971 seconds,
ID 183, src 6803, dst 21642, status Complete, result count 158191, preprocessing time 0.007537 seconds, query time 0.014530 seconds,
ID 184, src 32349, dst 15418, status Complete, result count 544791, preprocessing time 0.008529 seconds, query time 0.027933 seconds,
ID 185, src 20682, dst 61124, status Complete, result count 16731, preprocessing time 0.005855 seconds, query time 0.006823 seconds,
ID 186, src 38770, dst 66538, status Complete, result count 3894, preprocessing time 0.003995 seconds, query time 0.004232 seconds,
ID 187, src 2388, dst 9708, status Complete, result count 4796728, preprocessing time 0.008889 seconds, query time 0.183231 seconds,
ID 188, src 64401, dst 70381, status Complete, result count 1, preprocessing time 0.000007 seconds, query time 0.000010 seconds,
