---------------------------------------------------------------------------
Command:
Input graph folder: ../../dataset/soc-Epinions1/for_demo/
Input query file: ../../dataset/soc-Epinions1/for_demo/hot2hot_pairs.bin
Input result folder: ./
Input method: IDX_DFS
Input length constraint: 7
Input per query time limit: 120 seconds
Input target number of results: 18446744073709551615
---------------------------------------------------------------------------
num of queries: 1000ID 0, src 5003, dst 4183, status Complete, result count 3166261119, preprocessing time 0.024793 seconds, query time 60.622541 seconds,
ID 152, src 19819, dst 21634, status Complete, result count 24612935, preprocessing time 0.016689 seconds, query time 0.671760 seconds,
ID 153, src 4963, dst 2157, status Complete, result count 6645309252, preprocessing time 0.020785 seconds, query time 135.517599 seconds,
ID 154, src 9511, dst 2950, status Complete, result count 686413604, preprocessing time 0.020906 seconds, query time 14.111445 seconds,
ID 155, src 25198, dst 2560, status Complete, result count 2186013589, preprocessing time 0.021445 seconds, query time 24.633112 seconds,
ID 156, src 36957, dst 7644, status Complete, result count 33408887, preprocessing time 0.016216 seconds, query time 0.787327 seconds,
ID 157, src 6559, dst 9642, status Complete, result count 628098850, preprocessing time 0.019650 seconds, query time 14.938864 seconds,
ID 158, src 1762, dst 11810, status Complete, result count 3282467600, preprocessing time 0.018916 seconds, query time 75.316469 seconds,
ID 159, src 3132, dst 5833, status Complete, result count 525970226, preprocessing time 0.018243 seconds, query time 12.599052 seconds,
ID 160, src 5335, dst 22855, status Complete, result count 123772091, preprocessing time 0.017998 seconds, query time 3.218215 seconds,
ID 161, src 21365, dst 1862, status Complete, result count 23214457, preprocessing time 0.015413 seconds, query time 0.747754 seconds,
ID 162, src 6514, dst 20728, status Complete, result count 122421994, preprocessing time 0.015304 seconds, query time 3.389284 seconds,
ID 163, src 11568, dst 1221, status Complete, result count 1994885335, preprocessing time 0.019652 seconds, query time 47.848794 seconds,
ID 164, src 6712, dst 10132, status Complete, result count 596251518, preprocessing time 0.021794 seconds, query time 14.958658 seconds,
ID 165, src 1649, dst 15053, status Complete, result count 206325512, preprocessing time 0.020388 seconds, query time 6.586379 seconds,
ID 166, src 5855, dst 1196, status Complete, result count 817253720, preprocessing time 0.016134 seconds, query time 16.224934 seconds,
ID 167, src 661, dst 16893, status Complete, result count 1676352826, preprocessing time 0.021161 seconds, query time 48.251140 seconds,
ID 168, src 19871, dst 4976, status Complete, result count 64990542, preprocessing time 0.017994 seconds, query time 1.202368 seconds,
ID 169, src 6412, dst 21993, status Complete, result count 261177608, preprocessing time 0.019175 seconds, query time 6.502244 seconds,
ID 170, src 4373, dst 71386, status Complete, result count 176684936, preprocessing time 0.015142 seconds, query time 4.341091 seconds,
ID 171, src 8169, dst 5696, status Complete, result count 232495105, preprocessing time 0.015217 seconds, query time 5.777860 seconds,
ID 172, src 2577, dst 1071, status Complete, result count 5621632354, preprocessing time 0.018417 seconds, query time 123.301043 seconds,
ID 173, src 1853, dst 34133, status Complete, result count 13498352, preprocessing time 0.016508 seconds, query time 0.361228 seconds,
ID 174, src 4061, dst 5746, status Complete, result count 832119895, preprocessing time 0.017560 seconds, query time 20.466724 seconds,
ID 175, src 8788, dst 7148, status Complete, result count 844966987, preprocessing time 0.017918 seconds, query time 18.292490 seconds,
ID 176, src 6613, dst 5995, status Complete, result count 1133751787, preprocessing time 0.020776 seconds, query time 28.975335 seconds,
ID 177, src 4527, dst 108, status Complete, result count 95862610829, preprocessing time 0.023475 seconds, query time 532.785150 seconds,
